,channel,title,published,description,views,likes,dislikes,comments
0,SelenaGomezVEVO,"Rema, Selena Gomez - Calm Down (Official Music Video)",2022-09-07T16:00:09Z,"Listen to Rema - Calm Down (with Selena Gomez)
https://rema.lnk.to/CalmDownwithSelenaGomezID

Stream/Download: RAVE & ROSES https://rema.lnk.to/RaveandRosesID

Get Rave & Roses World Tour Tickets: https://heisrema.com/pages/tour 🎫
Shop Limited Rave & Roses Merch: https://heisrema.com/pages/merch

#rema #selenagomez #calmdown #raveandroses

Music video by Rema, Selena Gomez performing Calm Down. © 2022 Mavin Records / Jonzing World

http://vevo.ly/UFpqmQ",1015663343,8491701,0,195384
1,MileyCyrusVEVO,Miley Cyrus - Flowers (Official Video),2023-01-13T00:00:09Z,"Official Video for “Flowers” by Miley Cyrus

Listen to & Download “Flowers” out now: https://mileycyrus.lnk.to/Flowers

Pre-Order “Endless Summer Vacation” available March 10th: https://mileycyrus.lnk.to/EndlessSummerVacation

Director: Jacob Bixenman
Producer: Nathan Scherrer, Fabien Colas, Bryan Younce
DP: Marcell Rev
Editor: Brendan Walter
Prod Co: Freenjoy

Connect with Miley
Site: http://mileycyrus.com
Twitter: https://mileyl.ink/twitter
Instagram: https://mileyl.ink/instagram
TikTok: https://mileyl.ink/tiktok
Facebook: https://mileyl.ink/facebook
Discord: https://discord.com/invite/mileycyrus

Lyrics:
We were good, we were gold
Kinda dream that can’t be sold 
We were right til we weren’t
Built a home and watched it burn 
 
I didn’t wanna leave you 
I didn’t wanna lie
Started to cry but then remembered I
 
I can buy myself flowers 
Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing
And I can hold my own hand
Yeah I can love me better than you can
 
I can love me better
I can love me better baby
Can love me better
I can love me better baby
 
Paint my nails, cherry red 
Match the roses that you left 
No remorse, no regret
I forgive every word you said 
 
I didn’t wanna wanna leave you 
I didn’t wanna fight 
Started to cry but then remembered I 
 
I can buy myself flowers 
Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing 
And I can hold my own hand 
Yeah I can love me better than you can 
 
I can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I
 
I didn’t wanna wanna leave you 
I didn’t wanna fight 
Started to cry but then remembered I 
 
I can buy myself flowers 
Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing 
And I can hold my own hand 
Yeah I can love me better than
Yeah I can love me better than you can
 
Can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I

#MileyCyrus #Flowers #EndlessSummerVacation",916555452,8352192,0,205687
2,FloyyMenorVEVO,"FloyyMenor, Cris MJ - Gata Only",2024-02-02T21:18:07Z,"FloyyMenor FT Cris MJ - GATA ONLY  (Video Official) | EL COMIENZO

🔔Suscríbete Al Canal de Floyymenor: https://bit.ly/3P0h0pl  

Escucha ""GATA ONLY"" aqui!
https://floyymenor.lnk.to/GATAONLY 

Redes FloyyMenor
https://floyymenor.lnk.to/gnrl 

Redes Cris MJ
https://www.instagram.com/cris_emejota  
https://www.tiktok.com/@crismjofficial1 

Letra
Ey
Mami, te siento lejo, dime dónde estás
Te quiero chingar, te voy a raptar
Déjate llevar, apaga el celular
Que si estás conmigo, no te va a pasar na

Solo déjate llevar
Tate atenta a la fuga
(Si yo quiero contigo y tú quiere' conmigo)
(Dime si se da, rrr)

Ba-ba-baby, dale, ponte pa' mí, follow me
Tú ere', like, for me y yo 'toy pa' ti
Gata, tú está' only, mándame tu ubi
Mueve los cachete' al ritmo del TikTok

Conmigo esa gata se escapó
Y, еn su casa, nadie lo notó
Que conmigo la baby esta nochе la pasó cabrón
Gata, pon el celu en modo avión
Tú mi loca y yo, tu locotrón
Tú te pone' pa' mí y yo por ti me tiro to'a la misión

Mami, te siento lejo', dime dónde estás
Te quiero chingar, te voy a raptar
Déjate llevar y apaga el celular
Que si estás conmigo, no te va a pasar na'

Solo déjate llevar
'Tate atenta a la fuga
Si yo quiero contigo y tú quiere' conmigo
(Dime si se da)

Ba-ba-baby, dale, ponte pa' mí, follow me
Tú ere', like, for me, yo tu Brad Pitt
Gata, tú está' only, mándame tu ubi
Mueve los cachete' al ritmo del TikTok

Conmigo esa gata se escapó
El que la rompe soy yo
Me la robó de menor

Otra noche dándote, dándote
Tocándote, calentándote
Así, bailándote
Al oído, gimiéndome

Y yo la sigo enamorando, regalando
Te estoy comprando
Lo que uste', mamita, quiere
Ahora nos 'tamo alejando, no te estoy viendo, los día' volando
Estar sola, tú prefiere'

Ven y dame un chance pa' guayarte
Allá vamo' a mojarte toa' las parte'
To'a la noche dándote, dándote
Tocándote, calentándote

Baby, dale, ponte pa' mí, follow me
Tú ere', like, for me, yo tu Brad Pitt
Gata, tú está' only, mándame tu ubi
Mueve los cachete' al ritmo del TikTok

Conmigo esa gata se escapó
El que la rompe soy yo
Me la robó de menor

Ey
Ya tú sabe' quiéne', ya tú sabe' quienes somo'
Ey
FloyyMenor
Cris Mj, El Más Que Suena
(Ah-ah-ah, ah-ah-ah)
FloyyMenor
'Tamo matando, brr
Ja

(Mami, te siento lejo', dime dónde estás)
(Te quiero chingar, te voy a raptar)
(Déjate llevar, apaga el celular)
(Que si estás conmigo, no te va a pasar na')

Tú y yo en La Serena
Por la Avenida del Mar
(Si yo quiero contigo y tú quiere' conmigo)
(Dime si se da)
Tra, tra, tra, tra, tra, tra, tra, tra
Ja-ja
Muah
Pa' que sepa'

¥ATU$4EQUI€NE$OMO

#floyymenor #gataonly #newmusic",484375192,2729417,0,70365
3,ROSÉ,ROSÉ & Bruno Mars - APT. (Official Music Video),2024-10-18T04:00:07Z,"ROSÉ & Bruno Mars - APT.
Download/stream: https://rosesarerosie.lnk.to/APTID

Order APT. single CD: https://rosesarerosie.lnk.to/APT-CDID

'rosie' - the first studio album by ROSÉ - December 6. 
pre-order ROSÉ store exclusives now: http://rosesarerosie.lnk.to/rosieID

Follow ROSÉ:
https://www.instagram.com/roses_are_rosie
https://www.tiktok.com/@roses_are_rosie 
https://x.com/numberonehq
https://www.facebook.com/rosesarerosieofficial
https://www.rosesarerosie.com/

Follow Bruno Mars:
https://www.instagram.com/brunomars
https://www.tiktok.com/@brunomars
https://twitter.com/brunomars
https://www.facebook.com/brunomars
https://www.brunomars.com/

Lyrics: 
아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

Kissy face, kissy face
Sent to your phone but,
I'm trying to kiss your lips for real
Red hearts, red hearts
That’s what I’m on yeah
Come give me something I can feel
Oh oh oh
Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy
All you gotta do is just meet me at the

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

아파트 아파트 
아파트 아파트
아파트 아파트
Uh, uh huh uh huh

It’s whatever it’s whatever it’s whatever you like
Turn this 아파트 into a club
I’m talking drink, dance, smoke, freak, party all night 
건배 건배 girl what’s up
Oh oh oh
Don't you want me like I want you, baby
Don't you need me like I need you now
Sleep tomorrow but tonight go crazy
All you gotta do is just meet me at the

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

Hey so now you know the game Are you ready?
Cause I’m comin to get ya
Get ya, get ya
Hold on, hold on
I’m on my way
Yeah yeah yeah yeah yeah

I’m on my way
Hold on, hold on
I’m on my way
Yeah yeah yeah yeah yeah I’m on my way
Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy 
All you gotta do is just meet me at the

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the (Uh huh uh huh)

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the (Uh huh uh huh) 

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the (Uh huh uh huh)

아파트 아파트 
아파트 아파트

아파트 아파트
Uh, uh huh uh huh

#ROSÉ_BRUNO_APT #APT #ROSÉ #BrunoMars #MusicVideo",471614137,10100645,0,457436
4,Benson Boone,Benson Boone - Beautiful Things (Official Music Video),2024-01-18T23:00:13Z,"Benson Boone - Beautiful Things (Official Music Video)

Listen to 'Fireworks & Rollerblades' the debut album from Benson Boone now at: https://BensonBoone.lnk.to/FireworksRollerblades
Listen to the song now at: https://BensonBoone.lnk.to/BeautifulThings

🔔 Subscribe to Benson's Channel: https://bit.ly/3RV5Na8

Follow Benson Boone:
http://www.BensonBoone.com
https://www.Tiktok.com/@bensonboone
http://www.Instagram.com/BensonBoone
http://www.Twitter.com/BensonBoone
http://www.Facebook.com/BensonBoone

Credits:
Music Video Directed by: Matt Eastin
Written by Benson Boone, Jackson Lafrantz Larsen, and Evan Blair
Produced by Evan Blair 
Engineered by Evan Blair
Mixed by Alex Ghenea
Mastered by Randy Merrill

Lyrics:
For a while there it was rough 
But lately I’ve been doing better 
Than the last four cold Decembers
I recall 
And I see my family every month
I found a girl my parents love
She’ll come and stay the night
I think I might have it all 
And I thank god everyday 
For the girl he sent my way 
But I know the things he gives me
He can take away 
And I hold you every night
That’s a feeling I wanna get used to 
But there’s no man as terrified 
As the man who stands to lose you 
Oh I hope I don’t lose you
Mmm
Please 
Stay
I want you I need you oh God
Don’t 
Take
These beautiful things that I’ve got
Please stay 
I want you I need you oh God
Don’t take
These beautiful things that I’ve got
Please don’t take,
I found my mind I’m feeling sane
It’s been a while but I’m finding my faith
If everything’s good and it’s great why do I sit and wait till it’s gone
Oh I’ll tell ya I know I’ve got enough
I got peace,
And I got love,
But I’m up at night thinking I just might lose it all
Please stay 
I want you I need you oh God
Don’t take
These beautiful things that I’ve got
Please stay
I want you I need you oh god
I need
These beautiful things that I’ve got 

#BensonBoone #BeautifulThings #NewMusic #Pop",402156205,3843858,0,84183
5,TheWeekndVEVO,"The Weeknd, Ariana Grande - Die For You (Remix / Lyric Video)",2023-02-24T05:00:18Z,"The official lyric video for the ""Die For You (Remix)"" by The Weeknd &  Ariana Grande. Listen & download here: https://http://theweeknd.co/DieForYouRmx 

►Tour dates here: http://theweeknd.com/tour
►Exclusive merch: http://theweeknd.co/shop
►Subscribe on YouTube: http://theweeknd.co/subscribeYD

►Follow The Weeknd:
https://www.theweeknd.com
https://twitter.com/theweeknd
https://instagram.com/theweeknd
https://facebook.com/theweeknd
https://snapchat.com/add/theweeknd
https://tiktok.com/@theweeknd

► Official “Die For You (Remix)” Lyrics:
I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin', 'cause you're perfect, and I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind
'Cause baby, I would die for you
Baby, I would die for you, yeah

I’m finding ways to stay concentrated
On what I gotta do
But baby boy it’s so hard round you
And yes I’m blaming you
And you know I can’t fake it now or never
And you insinuating that you think we might be better 
Better me & you 
Yeah I know you do

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin', 'cause you're perfect
And I know you deserve it

I can't walk away, oh
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind
'Cause baby, I would die for you, uh
Baby, I would die for you, yeah
I would die for you, I would lie for you

Keep it real with you, I would kill for you
My baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you
My baby
Na-na-na, na-na-na, na-na, ooh
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind
'Cause baby, I would die for you
Baby, I would die for you, yeah (oh, babe)


#TheWeeknd #ArianaGrande #DieForYouRemix 


Music video by The Weeknd, Ariana Grande performing Die For You (Remix / Lyric Video). © 2023 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc.",358312544,2220987,0,39554
6,LadyGagaVEVO,"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",2024-08-16T04:00:36Z,"Listen to “Die With A Smile”, song and video out now: http://GagaMars.lnk.to/DieWithASmile
 
Directed by Daniel Ramos & Bruno Mars
 
Shop official music and merch: https://LadyGaga.lnk.to/OfficialStore
 
Follow Lady Gaga: 
Facebook: https://www.facebook.com/ladygaga
Instagram: https://www.instagram.com/ladygaga
Twitter: https://twitter.com/ladygaga
TikTok: https://www.tiktok.com/@ladygaga
YouTube: https://www.youtube.com/ladygaga
Website: http://www.ladygaga.com/
Official Store: https://LadyGaga.lnk.to/OfficialStore
 
Follow Bruno Mars: 
Facebook: https://www.facebook.com/brunomars/
Instagram: https://www.instagram.com/brunomars
Twitter: http://twitter.com/brunomars
TikTok: https://www.tiktok.com/@brunomars
YouTube: https://www.youtube.com/brunomars
Website: https://www.brunomars.com/
Official Store: https://brunomars.lnk.to/shop

Music video by Lady Gaga, Bruno Mars performing Die With A Smile.© 2024 Interscope Records",354697428,5194225,0,144360
7,dojacatVEVO,Doja Cat - Paint The Town Red (Official Video),2023-08-04T04:00:33Z,"Doja Cat // Paint The Town Red // Get It Here // https://DojaCat.lnk.to/PTTR 

Directors: Doja Cat and Nina McNeely
Based on Paintings by Doja Cat
Production Company: Freenjoy
Produced by Nathan Scherrer, Fabien Colas, Malcolm Duncan
Label Producer: Sam Houston
DP: Tehillah De Castro
PD: Nu California
Styling/Creative Director: Brett Alan Nelson
SFX Make Up: Malina Stearns
Make Up: Ernesto Casillas
Hair: JStayReady
Nails: Saccia Trinice
1st AD: Robert Thoren
PM: Andres White 
Gaffer: Eddie Reid
Key Grip: Kyle Pugsley 
Casting Director: Sarah May Levy
Edit: Mah Ferraz @ Cut and Run
VFX: SuperContinent
Color: Dante Pasquinelli @ Ethos Studio 
Beauty: Sunset Edit 
 
Grim Reaper: Jhan Mena
Blue Horned Father: Donna Brian

Follow Doja Cat:
http://www.dojacat.com/
https://www.instagram.com/dojacat/
https://twitter.com/DojaCat
https://www.facebook.com/DojaCat
 
Subscribe to Doja Cat's Official YouTube Channel: https://DojaCat.lnk.to/YTSubscribe

Chorus:
Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don’t care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

Mm, she the devil
She a bad lil’ bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)

 
#DojaCat #PaintTheTownRed #Scarlet",297499631,3018677,0,133352
8,TylaVEVO,Tyla - Water (Official Music Video),2023-10-06T04:00:07Z,"Tyla - Water (Official Music Video)

Listen To “Water” now: https://Tyla.lnk.to/Water

Watch the Official Music Video: https://tyla.lnk.to/WaterOfficial 
Watch the Official Lyric Video: https://youtu.be/PBAMcKXcBKE
Listen to the Official Audio: https://youtu.be/wlmUnWLaeog

Follow Tyla:
https://instagram.com/tyla
https://www.tiktok.com/@tyla_
https://twitter.com/Tyllaaaaaaa

Join the #WaterChallenge on YouTube Shorts: https://tyla.lnk.to/YTShortsWaterChallenge

Make me sweat
Make me hotter
Make me lose my breathe 
Make me water

Normally
I can keep my cool but tonight I’m wildin 
Imma be 
In a dangerous mood can match my timing 
Telling me
That you really bout it why try hide it
Talk is cheap
Show me
That you understand how I like it 

Can you blow my mind
Set off my whole body
If I give you my time

Can you snatch my soul from me
I don’t wanna wait come take it
Take me where I ain’t been before

Can you blow my mind 
Set off my whole body

Make me sweat
Make me hotter
Make me lose my breathe 
Make me water

Hopefully 
You can last all night don’t get too excited
Privacy 
You ain’t gotta go nowhere you can stay inside it

Can you blow my mind
Set off my whole body
If I give you my time

Can you snatch my soul from me
I don’t wanna wait come take it
Take me where I ain’t been before

Can you blow my mind 
Set off my whole body

Make me sweat
Make me hotter
Make me lose my breathe 
Make me water (x2)

DIRECTOR: child.
CO- DIRECTOR: C&P    
EXECUTIVE VIDEO PRODUCER (LABEL): Gina Harrell @gstarsz
DP - Frank Mobilio @frankmobilio
PRODUCTION COMPANY: PrettyBird
EXECUTIVE PRODUCER - Candice Dragonas 
SUPERVISING PRODUCER - David Wept  @davidwept
PRODUCER - Farah Idrees @idr_farah
PRODUCTION DESIGNER - Winston Studios/Carlos Lopez @winstonstudios
EDITOR - Alex Morrison @morrydraco
COLORIST - Sean Coleman @seantelecine

CHOREOGRAPHER: Lee Che @litchi_hov
STYLIST: Lee Trigg @ltrigg
STYLIST ASSISTANT: Florence Thompson
STYLIST ASSISTANT: BT Marie
STYLIST ASSISTANT: Rocky Suarez
MAKEUP ARTIST:
Michael Anthony 
@manthony783 
HAIR STYLIST: Davontae Washington 
@iamdavontae

(C) 2023 FAX Records, under exclusive license to Epic Records, a division of Sony Music Entertainment

#Tyla #Water",261718760,2179024,0,38391
9,SabrinaCarpenterVEVO,Sabrina Carpenter - Espresso (Official Video),2024-04-12T14:00:07Z,"Stream “Espresso” here: https://SabrinaCarpenter.lnk.to/Espresso
Listen to Short n’ Sweet, out now: https://SabrinaCarpenter.lnk.to/shortnsweet
Watch all Short n’ Sweet videos here: https://SabrinaCarpenter.lnk.to/ShortnSweetVideos
 
New merch available: https://SabrinaCarpenter.lnk.to/Merch
 
directed by dave meyers @davemeyers
produced by nathan scherrer @freenjoy
 
production company: freenjoy @freenjoy
exec producers: nathan scherrer & tara sheree @tarasheree
director rep: lark creative @larkcreative
prod manager: giulia di stravola @rozengiu
director of photography: scott cunningham @scottcunninghamdp
production designer: natalie fält @nataliefalt
choreography: jasmine badie @mssjb
artist styling: ronnie hartleben @ronnie_hart
artist makeup: leah darcy @leahdarcymakeup
artist hair: scott king @scottkinghair
cast styling: karla miranda @karlaymiranda
cast makeup: kayli rachelle @kayli_rachelle
cast hair: brooke tokar @brooke.is.fine
nail artist: michelle tran @meechynails
 
editor: jai shukla @jaishukla6
colorist: dante pasquinelli @dantegiani
vfx: mod creations @mod_creations_inc
sound mix: d. chris smith @dchrissmith
 
sunscreen: Supergoop! Glowscreen 

label: island records

Subscribe to Sabrina’s channel: https://bit.ly/SCYTsubscribe
 
Follow Sabrina Carpenter: https://linktr.ee/sabrinacarpenter
Instagram: https://www.instagram.com/sabrinacarpenter
Facebook: https://www.facebook.com/sabrinacarpenter
Twitter: https://twitter.com/SabrinaAnnLynn
TikTok: https://www.tiktok.com/@sabrinacarpenter

Follow Team Sabrina Online: 
Instagram: https://www.instagram.com/teamsabrina
TikTok: https://www.tiktok.com/@teamsabrina
X: https://twitter.com/TeamSabrina
Laylo: https://laylo.com/teamsabrina/9vVVB
 
#SabrinaCarpenter #Espresso
 
LYRICS:
Now he’s thinkin’ bout me
Every night, oh
Is it that sweet?
I guess so
Say you can’t sleep
Baby I know
That’s that me
Espresso
Move it up down
Left right, oh
Switch it up like Nintendo
Say you can’t sleep
Baby I know
That’s that me
Espresso
 
I can’t relate
To desperation
My ‘give a fucks’ are on vacation
And I got this one boy
And he won’t stop calling
When they act this way
I know I got em’
 
Too bad your ex don’t do it for ya
Walked in and dream came trued it for ya
Soft skin and I perfumed it for ya
I know I Mountain Dew it for ya
That morning coffee brewed it for ya
One touch and I brand newed it for ya
 
Now he’s thinkin’ bout me
Every night, oh
Is it that sweet?
I guess so
Say you can’t sleep
Baby I know
That’s that me
Espresso
Move it up down
Left right, oh
Switch it up like Nintendo
Say you can’t sleep
Baby I know
That’s that me
Espresso
 
(Holy shit)
Is it that sweet? I guess so
 
I’m working late
Cause I’m a singer
Oh he looks so cute
Wrapped around my finger
My twisted humor
Make him laugh so often
My honey bee
Come and get this pollen
 
Too bad your ex don’t do it for ya
Walked in and dream came trued it for ya
Soft skin and I perfumed it for ya
I know I Mountain Dew it for ya
That morning coffee brewed it for ya
One touch and I brand newed it for ya
 
Now he’s thinkin’ bout me
Every night, oh
Is it that sweet?
I guess so
Say you can’t sleep
Baby I know
That’s that me
Espresso
Move it up down
Left right, oh
Switch it up like Nintendo
Say you can’t sleep
Baby I know
That’s that me
Espresso
 
He’s thinkin’ bout me
Every night, oh
Is it that sweet?
I guess so
Say you can’t sleep
Baby I know
That’s that me
Espresso
Move it up down
Left right, oh
Switch it up like Nintendo
Say you can’t sleep
Baby I know
That’s that me
Espresso
 
Is it that sweet? I guess so
That’s that me
Espresso

Music video by Sabrina Carpenter performing Espresso. © 2024 Island Records, a division of UMG Recordings, Inc.

http://vevo.ly/oRcAso",250430248,2594620,0,53254
